Date,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
19930421,-15.42307,1.53508,3.470004,3.021344,2.13219,-0.7317672,3.665336,-1.619995,-3.130515,2.642001,-5.694848,-1.740929,0.7306541,-0.6721866,-2.386952
19930422,-15.64134,1.782988,3.643185,3.140176,2.164289,-0.902867,3.651697,-1.615945,-2.951549,2.507208,-5.583135,-1.602212,0.7526173,-0.379615,-2.310879
19930423,-15.86598,2.018453,3.784635,3.218971,2.210099,-1.0783,3.640835,-1.636842,-2.791838,2.385039,-5.486454,-1.476342,0.7430273,-0.1212261,-2.264189
19930424,-16.07794,2.213915,3.913777,3.276476,2.252664,-1.284263,3.63248,-1.647785,-2.623057,2.26459,-5.37874,-1.313011,0.6926528,0.05301061,-2.193896
19930425,-16.26753,2.40508,4.017245,3.311461,2.312361,-1.49681,3.629944,-1.671304,-2.452531,2.13653,-5.290496,-1.116022,0.6632092,0.2040694,-2.129279
19930426,-16.44847,2.584949,4.066526,3.329654,2.373702,-1.703856,3.632678,-1.73132,-2.276764,2.00255,-5.193295,-0.9162099,0.6112249,0.3474542,-2.099651
19930427,-16.61284,2.740268,4.119971,3.340275,2.430206,-1.958093,3.62347,-1.796084,-2.131119,1.858507,-5.121891,-0.7428655,0.5299785,0.4484461,-2.106373
19930428,-16.71335,2.851882,4.206206,3.336488,2.537355,-2.157754,3.624156,-1.844025,-1.975138,1.706453,-5.057013,-0.5521047,0.4489773,0.5225074,-2.112976
19930429,-16.7785,2.955323,4.290856,3.338177,2.640847,-2.335999,3.621182,-1.919704,-1.829461,1.480483,-4.979425,-0.3483067,0.3680095,0.5675675,-2.107756
19930430,-16.81776,3.003141,4.349694,3.324936,2.739625,-2.494514,3.631127,-1.987036,-1.708387,1.221545,-4.907748,-0.1856607,0.2824969,0.5691114,-2.115269
19930501,-16.83528,3.038217,4.422525,3.279545,2.84228,-2.620671,3.61792,-1.989501,-1.576852,0.9600526,-4.84048,-0.07405643,0.1575372,0.5411335,-2.111617
19930502,-16.73343,3.046574,4.485521,3.229374,2.956204,-2.683474,3.591452,-1.985877,-1.442773,0.6681797,-4.76012,0.007670978,0.05782266,0.4963152,-2.084516
19930503,-16.62071,3.069247,4.585703,3.162264,3.043278,-2.713011,3.567892,-2.010772,-1.365638,0.3983991,-4.642765,0.03103025,-0.07923513,0.4283571,-2.022743
19930504,-16.46202,3.073658,4.696154,3.075152,3.151169,-2.745516,3.567084,-1.992296,-1.274102,0.08766387,-4.56533,0.05619133,-0.2019719,0.3069054,-1.941944
19930505,-16.29817,3.070568,4.769268,2.99252,3.221073,-2.763323,3.588407,-1.935429,-1.184175,-0.2131904,-4.498145,0.05426142,-0.3155515,0.2048407,-1.851742
19930506,-16.12548,3.113313,4.870842,2.875155,3.297315,-2.814978,3.583148,-1.840673,-1.153897,-0.4747601,-4.45149,0.01236857,-0.4405997,0.01804624,-1.78271
19930507,-15.94961,3.114786,5.007337,2.762765,3.323751,-2.838404,3.590346,-1.771956,-1.155128,-0.6717448,-4.406085,-0.03973467,-0.5933823,-0.1356802,-1.682406
19930508,-15.7554,3.118314,5.095098,2.643613,3.371273,-2.851051,3.602073,-1.733104,-1.214186,-0.8558406,-4.357033,-0.1320735,-0.7614278,-0.2653621,-1.602192
19930509,-15.57803,3.162546,5.191187,2.508605,3.384905,-2.842433,3.583712,-1.666373,-1.288751,-1.038351,-4.339829,-0.2282716,-0.948285,-0.4297714,-1.508107
19930510,-15.41874,3.21062,5.277848,2.359539,3.384228,-2.856437,3.556446,-1.616191,-1.375961,-1.164847,-4.353252,-0.302026,-1.148957,-0.5772092,-1.383562
19930511,-15.30878,3.277479,5.345745,2.219021,3.391479,-2.910441,3.542715,-1.59181,-1.471674,-1.259136,-4.367765,-0.3837921,-1.391371,-0.6975031,-1.279572
19930512,-15.20968,3.318963,5.409274,2.091563,3.370838,-2.919296,3.552143,-1.536132,-1.567317,-1.327933,-4.401662,-0.4455792,-1.623694,-0.8600765,-1.156618
19930513,-15.15125,3.395545,5.436895,1.97328,3.33276,-2.979722,3.529095,-1.48231,-1.666118,-1.389671,-4.499115,-0.5207031,-1.841676,-1.02853,-1.047398
19930514,-15.11251,3.487049,5.436601,1.863469,3.274905,-3.047962,3.524637,-1.410783,-1.724487,-1.430572,-4.582276,-0.5750096,-2.065234,-1.185134,-0.9423332
19930515,-15.07082,3.57439,5.454614,1.778222,3.200533,-3.123249,3.493073,-1.31003,-1.762876,-1.508307,-4.681535,-0.628378,-2.267596,-1.319919,-0.8655296
19930516,-15.00752,3.693464,5.481658,1.704521,3.12153,-3.200199,3.442692,-1.201205,-1.7754,-1.640896,-4.788867,-0.6422743,-2.445173,-1.440173,-0.7844116
19930517,-14.94168,3.816926,5.488998,1.64434,3.026919,-3.253458,3.389165,-1.07962,-1.754788,-1.750982,-4.862373,-0.6437272,-2.573292,-1.535795,-0.7078518
19930518,-14.88542,3.940215,5.481078,1.613752,2.925608,-3.296824,3.341746,-0.930472,-1.716487,-1.836873,-4.921964,-0.633606,-2.661597,-1.622454,-0.6408916
19930519,-14.83728,4.071064,5.473981,1.578286,2.832941,-3.361502,3.277805,-0.7905542,-1.666913,-1.886635,-4.953791,-0.6055523,-2.713614,-1.651708,-0.6085209
19930520,-14.79443,4.208957,5.459605,1.576,2.72001,-3.370121,3.208866,-0.6409479,-1.566803,-1.924677,-4.926725,-0.5717214,-2.71092,-1.668105,-0.5937189
19930521,-14.741,4.296429,5.401308,1.588207,2.635791,-3.340265,3.151049,-0.4624007,-1.45244,-1.992959,-4.927996,-0.5349862,-2.666196,-1.582245,-0.605536
19930522,-14.70703,4.422433,5.353922,1.63646,2.522432,-3.312913,3.044513,-0.2778792,-1.283489,-2.102876,-4.913795,-0.457519,-2.599381,-1.525787,-0.60163
19930523,-14.67942,4.559456,5.304136,1.698267,2.427906,-3.26526,2.922758,-0.1164004,-1.133034,-2.162175,-4.872853,-0.3925269,-2.549221,-1.440508,-0.6116593
19930524,-14.64527,4.697063,5.245783,1.763014,2.293426,-3.235792,2.807281,0.03657587,-0.9585897,-2.199596,-4.790473,-0.3487649,-2.474784,-1.320958,-0.6403964
19930525,-14.63592,4.876256,5.109719,1.86956,2.131342,-3.20759,2.64689,0.1641386,-0.7885677,-2.125892,-4.661397,-0.1966841,-2.32341,-1.186314,-0.6726921
19930526,-14.60351,5.068978,4.991068,2.011776,1.935081,-3.168581,2.513405,0.2718118,-0.6449033,-2.084611,-4.538164,-0.02908192,-2.191412,-1.036247,-0.666145
19930527,-14.5984,5.244103,4.849581,2.152263,1.748807,-3.16515,2.402202,0.3502397,-0.5278441,-2.012037,-4.411679,0.09964836,-2.085645,-0.9105366,-0.6507938
19930528,-14.60733,5.448361,4.748913,2.309153,1.540382,-3.162425,2.299105,0.3788202,-0.3986647,-1.922281,-4.274082,0.2151098,-2.017361,-0.7863252,-0.6233211
